Onset,Duration,Annotation
+0,24150,Sleep stage W
+24150,150,Sleep stage 1
+24300,510,Sleep stage 2
+24810,30,Sleep stage 3
+24840,90,Sleep stage 2
+24930,180,Sleep stage 3
+25110,540,Sleep stage 4
+25650,150,Sleep stage 2
+25800,180,Sleep stage 3
+25980,210,Sleep stage 4
+26190,60,Sleep stage 3
+26250,840,Sleep stage 4
+27090,30,Sleep stage 3
+27120,30,Sleep stage 2
+27150,60,Sleep stage 3
+27210,60,Sleep stage 2
+27270,60,Sleep stage 3
+27330,60,Sleep stage 2
+27390,1050,Sleep stage R
+28440,120,Sleep stage 2
+28560,30,Sleep stage 3
+28590,270,Sleep stage 2
+28860,60,Sleep stage 3
+28920,30,Sleep stage 2
+28950,30,Sleep stage 3
+28980,60,Sleep stage 2
+29040,30,Sleep stage 3
+29070,30,Movement time
+29100,30,Sleep stage 1
+29130,420,Sleep stage 2
+29550,30,Sleep stage 3
+29580,30,Sleep stage 2
+29610,60,Sleep stage 3
+29670,300,Sleep stage 2
+29970,30,Sleep stage 3
+30000,30,Sleep stage 2
+30030,30,Sleep stage 3
+30060,30,Sleep stage 2
+30090,60,Sleep stage 3
+30150,30,Sleep stage 4
+30180,30,Sleep stage 3
+30210,180,Sleep stage 4
+30390,210,Sleep stage 3
+30600,240,Sleep stage 4
+30840,90,Sleep stage 3
+30930,30,Sleep stage 4
+30960,90,Sleep stage 3
+31050,60,Sleep stage 4
+31110,90,Sleep stage 3
+31200,360,Sleep stage 4
+31560,90,Sleep stage 2
+31650,60,Sleep stage 3
+31710,120,Sleep stage 2
+31830,1080,Sleep stage R
+32910,570,Sleep stage 2
+33480,60,Movement time
+33540,420,Sleep stage 2
+33960,30,Movement time
+33990,600,Sleep stage 2
+34590,30,Sleep stage 3
+34620,90,Sleep stage 2
+34710,30,Sleep stage 3
+34740,60,Sleep stage 2
+34800,90,Sleep stage 3
+34890,90,Sleep stage 2
+34980,30,Sleep stage 3
+35010,30,Sleep stage 2
+35040,30,Sleep stage 3
+35070,30,Movement time
+35100,30,Sleep stage 3
+35130,330,Sleep stage 2
+35460,180,Sleep stage R
+35640,210,Sleep stage 2
+35850,30,Sleep stage R
+35880,1680,Sleep stage 2
+37560,30,Sleep stage 3
+37590,270,Sleep stage 2
+37860,30,Movement time
+37890,90,Sleep stage 2
+37980,90,Sleep stage W
+38070,60,Sleep stage 1
+38130,60,Sleep stage 2
+38190,30,Movement time
+38220,30,Sleep stage 1
+38250,30,Sleep stage W
+38280,60,Sleep stage 1
+38340,870,Sleep stage 2
+39210,90,Sleep stage 3
+39300,120,Sleep stage 2
+39420,30,Sleep stage 3
+39450,60,Sleep stage 2
+39510,30,Sleep stage 3
+39540,270,Sleep stage 2
+39810,120,Sleep stage R
+39930,390,Sleep stage 2
+40320,510,Sleep stage R
+40830,30,Movement time
+40860,90,Sleep stage R
+40950,30,Sleep stage 1
+40980,180,Sleep stage 2
+41160,240,Sleep stage R
+41400,90,Sleep stage 2
+41490,150,Sleep stage R
+41640,30,Movement time
+41670,780,Sleep stage R
+42450,1560,Sleep stage 2
+44010,90,Sleep stage 3
+44100,30,Sleep stage 2
+44130,150,Sleep stage 3
+44280,30,Sleep stage 2
+44310,120,Sleep stage 3
+44430,60,Sleep stage 2
+44490,210,Sleep stage 3
+44700,930,Sleep stage 2
+45630,30,Sleep stage 3
+45660,390,Sleep stage 2
+46050,30,Sleep stage 3
+46080,630,Sleep stage 2
+46710,30,Sleep stage 3
+46740,60,Sleep stage 2
+46800,120,Sleep stage R
+46920,30,Sleep stage 2
+46950,150,Sleep stage R
+47100,30,Movement time
+47130,480,Sleep stage R
+47610,240,Sleep stage 2
+47850,600,Sleep stage R
+48450,150,Sleep stage 2
+48600,240,Sleep stage R
+48840,30,Sleep stage 2
+48870,720,Sleep stage R
+49590,1260,Sleep stage 2
+50850,90,Sleep stage W
+50940,30,Sleep stage 1
+50970,30,Sleep stage W
+51000,30,Sleep stage 1
+51030,1350,Sleep stage 2
+52380,30,Movement time
+52410,120,Sleep stage 2
+52530,30,Sleep stage W
+52560,90,Sleep stage 1
+52650,330,Sleep stage 2
+52980,420,Sleep stage R
+53400,750,Sleep stage 2
+54150,630,Sleep stage W
+54780,60,Sleep stage 1
+54840,27120,Sleep stage W
+81960,4440,Sleep stage ?
